id,breed
9f68d045a396679a778eb54c5ed29038,lakeland_terrier
f375e6363bc21dcd3cb65637c7855e9c,silky_terrier
010e87fdf252645a827e37470e65e842,groenendael
ad2dfa0202d8ea3766fea1e743cd5166,standard_schnauzer
a579a1802c57cfbc31b79781f6f37a39,malamute
9fbbb409d665cd228436cb2c7cfff39e,pembroke
48a6216e20a8d088474681a2dc3fa623,airedale
d974d73918177dd97349f07bff519f3e,chow
6978118af96288c761f89f454c445aa0,flat-coated_retriever
95a35be5b90604e39e5177723ca0b348,affenpinscher
b6281e28d445000d206c5d89af27335c,norwegian_elkhound
656f928b521e23eeaffcd9e432bfd0d0,miniature_poodle
d34ca643d6c19c9943b40af456e62cd3,scottish_deerhound
5de4391e5cdee98403e677607fd9f6b3,greater_swiss_mountain_dog
d5c9f2708cfc84beb1f5af5b74a5b92d,french_bulldog
e9fc775bd40d6d7273ff093fa12a0574,english_foxhound
ca5157b5031f9f164fb35284c7fbfca4,leonberg
c388a84f93ba4fb28c7b1a7a880474f1,lhasa
61e259f889548a4cfd3ffc5258de2a60,boxer
cf853fd31d054b54395a43469d1f49a8,italian_greyhound
a4c3902d1ebb959d51e2488804b43c99,shih-tzu
db5dfb60b06747b115402c9562959e12,french_bulldog
c7f915c8e4ced5a955be4679b389b83a,bedlington_terrier
ab9e3dead24985735ae40b5bba7cb4af,shih-tzu
a694bb8740fe5042c5d1b1a19445a250,affenpinscher
45f263924742d423eb229f49aad24151,black-and-tan_coonhound
abe55e39cafb1abc85bb6b00376222f0,toy_poodle
2c5ceeb88110e5fea161cae699aee8dc,beagle
f2cb6f6dfc542d47bfcea63b0dd78c6e,brittany_spaniel
8bf58e563f62837df002040db7d84311,chesapeake_bay_retriever
c61a74191ee3f5a485c17f69c6f9ad12,bernese_mountain_dog
fce950ef7cf99efcb26297537bdf5dd4,ibizan_hound
f88b18233f76dcfb8dc49ab1820fa0dd,schipperke
8215b9c75eb7c7d503de426b7175ea36,bloodhound
6e83d477ab18e964cb7e182fc8cf9625,pomeranian
1ea7adfd17a58475b764cc95431e2315,kerry_blue_terrier
92eac03e18067b690a54a0e301f4448c,border_terrier
a671803d1eed0aada084f65eb084ba28,siberian_husky
2cd30e4c6aefb60281db1caec0d5040f,bedlington_terrier
968d6f3b48f707e6e22341bcc8dea9e6,doberman
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
dfd42ce694fd4af24a71392b94176b56,leonberg
49186fb43178b462d273cc98e330e26a,afghan_hound
a8b9ff7ca06057bca49a48efe93487ce,rottweiler
0c0bca6e79cc323669da06bab0013b12,mexican_hairless
aaf069f36b79c6499c6e746454c91f64,great_pyrenees
2d281959a02178bbcdeea424c8757b1d,saluki
168e2da635938b82819b8a45bbd3dd0d,collie
d5470b760dc855b84add98748e03bd77,boston_bull
fd8bd9ce34326d7fea7b85040510bdbb,bloodhound
ef4efe7980d873475501b56804670c6a,appenzeller
79c132b5981112afd66ccf194005be1e,komondor
57a12c8dcfb907f389dfa244f2987004,irish_wolfhound
8c170e9b6122bf2d003e109bef89e42f,norwegian_elkhound
0e47c35f24067b19557e15fcfd48778c,gordon_setter
03cae0a6700c5cc4900e576034361e7a,groenendael
2e8df776be90cef2e363474dccd92cbb,welsh_springer_spaniel
42a49cd92129a383d959dd3a52bae3f9,otterhound
